RG;PAYS;CAPITALE;ALTITUDE;LATITUDE;LONGITUDE; GMT;PRECIPIT.;TEMP.JANV.;TEMP.JUIL.;AMPLITUDE
91;IRLANDE;DUBLIN;81;53N;6W;0,00 ;758;4,7;15,1;10,4
92;ISLANDE;REYKJAVIK;49;64N;23W;0,00 ;805;-0,4;11,2;11,6
93;ISRAEL;JERUSALEM;810;32N;35E;2,00 ;492;8,6;23,3;14,7
94;ITALIE;ROME;5;42N;12E;1,00 ;749;8;24,4;16,4
95;JAMAIQUE;KINGSTON;12;18N;77W;-5,00 ;811;25,4;28,3;2,9
96;JAPON;TOKYO;6;36N;150E;9,00 ;1563;3,7;25,1;21,4
97;JORDANIE;AMMAN;771;32N;36E;2,00 ;273;8,2;25,2;17
98;KAMPUCHEA;PNOM PENH;11;11N;104E;7,00 ;1319;26;28;2
99;KENYA;NAIROBI;1798;1S;37E;3,00 ;926;17,8;14,9;-2,9
100;KIRIBATI;TARAWA;2;2N;157W;-11,00 ;1977;28,3;27,1;-1,2
101;KOWEIT;KOWEIT;11;29N;48E;3,00 ;111;13,9;36,7;22,8
102;LAOS;VIENTIANE;170;18N;103E;7,00 ;1683;21,5;27,7;6,2
103;LESOTHO;MASERU;1061;29S;27E;2,00 ;691;21;8;-13
104;LIBAN;BEYROUTH;16;34N;35E;2,00 ;517;13,9;26,2;12,3
105;LIBERIA;MONROVIA;23;7N;10W;0,45 ;5138;26,1;24,4;-1,7
106;LIBYE;TRIPOLI;22;32N;13E;2,00 ;400;11,1;27,2;16,1
107;LIECHTENSTEIN;VADUZ;445;47N;10E;1,00 ;1000;-2;15;17
108;LUXEMBOURG;LUXEMBOURG;330;50N;6E;1,00 ;1000;0,3;17,4;17,1
109;MACAO;MACAO;5;97N;114E;8,00 ;1846;15,1;28,5;13,4
110;MADAGASCAR;ANTANANARIVO;1310;19S;48E;3,00 ;1270;19,3;13;-6,3
111;MALAISIE;KUALA LUMPUR;38;3N;102E;7,30 ;2499;26,8;27,1;0,3
112;MALAWI;ZOMBA;957;13S;34E;2,00 ;828;23,2;18,1;-5,1
113;MALDIVES;MALE;5;2N;73E;5,30 ;2400;26;28;2
114;MALI;BAMAKO;332;13N;8E;0,00 ;1099;25,5;26,9;1,4
